evaluator_id,stratum,model,n_pairs,outcome_agreement,outcome_agreement_ci95_low,outcome_agreement_ci95_high,cohen_kappa,exact_text_match_rate,stratum_value,unmatched_transformers,unmatched_vllm
faulborn_nli_reconstructed_leakage_free_seed42,prefix,OLMo-2-13B-Base,30,0.9667,0.9,1.0,0.9094,0.7,please_respond,0,0
faulborn_nli_reconstructed_leakage_free_seed42,prefix,OLMo-2-13B-SFT,30,1.0,1.0,1.0,1.0,0.3333,opinion,0,0
faulborn_nli_reconstructed_leakage_free_seed42,prefix,OLMo-2-13B-SFT,30,0.9667,0.9,1.0,0.9306,0.4333,please_respond,0,0
faulborn_nli_reconstructed_leakage_free_seed42,prefix,OLMo-2-1B-Instruct,30,0.9333,0.8333,1.0,0.8266,0.1,opinion,0,0
faulborn_nli_reconstructed_leakage_free_seed42,prefix,OLMo-2-1B-Instruct,30,0.9333,0.8333,1.0,0.8565,0.2667,please_respond,0,0
faulborn_nli_reconstructed_leakage_free_seed43,prefix,OLMo-2-13B-Base,30,0.9667,0.9,1.0,0.9531,0.7333,opinion,0,0
faulborn_nli_reconstructed_leakage_free_seed43,prefix,OLMo-2-13B-Base,30,1.0,1.0,1.0,1.0,0.7,please_respond,0,0
faulborn_nli_reconstructed_leakage_free_seed43,prefix,OLMo-2-13B-SFT,30,0.9667,0.9,1.0,0.8958,0.3333,opinion,0,0
faulborn_nli_reconstructed_leakage_free_seed43,prefix,OLMo-2-13B-SFT,30,1.0,1.0,1.0,1.0,0.4333,please_respond,0,0
faulborn_nli_reconstructed_leakage_free_seed43,prefix,OLMo-2-1B-Instruct,30,0.9333,0.8333,1.0,0.8438,0.1,opinion,0,0
faulborn_nli_reconstructed_leakage_free_seed43,prefix,OLMo-2-1B-Instruct,30,0.9,0.7667,1.0,0.7831,0.2667,please_respond,0,0
faulborn_nli_reconstructed_leakage_free_seed44,prefix,OLMo-2-13B-Base,30,0.9667,0.9,1.0,0.9518,0.7333,opinion,0,0
faulborn_nli_reconstructed_leakage_free_seed44,prefix,OLMo-2-13B-Base,30,1.0,1.0,1.0,1.0,0.7,please_respond,0,0
faulborn_nli_reconstructed_leakage_free_seed44,prefix,OLMo-2-13B-SFT,30,1.0,1.0,1.0,1.0,0.3333,opinion,0,0
faulborn_nli_reconstructed_leakage_free_seed44,prefix,OLMo-2-13B-SFT,30,0.9,0.7667,1.0,0.8225,0.4333,please_respond,0,0
faulborn_nli_reconstructed_leakage_free_seed44,prefix,OLMo-2-1B-Instruct,30,0.8667,0.7333,0.9667,0.7115,0.1,opinion,0,0
faulborn_nli_reconstructed_leakage_free_seed44,prefix,OLMo-2-1B-Instruct,30,1.0,1.0,1.0,1.0,0.2667,please_respond,0,0
faulborn_nli_zeroshot,prefix,OLMo-2-13B-Base,30,0.8667,0.7333,0.9667,0.7993,0.7333,opinion,0,0
faulborn_nli_zeroshot,prefix,OLMo-2-13B-Base,30,1.0,1.0,1.0,1.0,0.7,please_respond,0,0
faulborn_nli_zeroshot,prefix,OLMo-2-13B-SFT,30,0.9333,0.8333,1.0,0.7619,0.3333,opinion,0,0
faulborn_nli_zeroshot,prefix,OLMo-2-13B-SFT,30,0.9333,0.8333,1.0,0.7143,0.4333,please_respond,0,0
faulborn_nli_zeroshot,prefix,OLMo-2-1B-Instruct,30,0.8333,0.7,0.9667,0.5098,0.1,opinion,0,0
faulborn_nli_zeroshot,prefix,OLMo-2-1B-Instruct,30,0.8667,0.7333,0.9667,0.6591,0.2667,please_respond,0,0
