evaluator_id,prompt,comparison,from,to,metric,from_value,to_value,diff,ci95_low,ci95_high
deterministic_stance_v1,stance_first,vs_base_raw,0_base/raw,2_dpo/native,acquiescence,0.6667,0.4571,-0.2095,,
deterministic_stance_v1,stance_first,vs_base_raw,0_base/raw,2_dpo/native,direction_index,0.6667,0.6286,-0.0381,,
deterministic_stance_v1,stance_first,vs_base_raw,0_base/raw,2_dpo/raw,position_rate,0.0398,0.4034,0.3636,0.2784,0.4432
deterministic_stance_v1,stance_first,vs_base_raw,0_base/raw,2_dpo/raw,acquiescence,0.6667,0.7353,0.0686,,
deterministic_stance_v1,stance_first,vs_base_raw,0_base/raw,2_dpo/raw,direction_index,0.6667,0.5294,-0.1373,,
deterministic_stance_v1,stance_first,vs_base_raw,0_base/raw,3_rlvr2/native,position_rate,0.0398,0.9943,0.9545,0.9148,0.983
deterministic_stance_v1,stance_first,vs_base_raw,0_base/raw,3_rlvr2/native,acquiescence,0.6667,0.4493,-0.2174,,
deterministic_stance_v1,stance_first,vs_base_raw,0_base/raw,3_rlvr2/native,direction_index,0.6667,0.5507,-0.1159,,
deterministic_stance_v1,stance_first,vs_base_raw,0_base/raw,3_rlvr2/raw,position_rate,0.0398,0.392,0.3523,0.267,0.4375
deterministic_stance_v1,stance_first,vs_base_raw,0_base/raw,3_rlvr2/raw,acquiescence,0.6667,0.5833,-0.0833,,
deterministic_stance_v1,stance_first,vs_base_raw,0_base/raw,3_rlvr2/raw,direction_index,0.6667,0.6667,-0.0,,
deterministic_stance_v1,stance_first,vs_previous_stage,1_sft/native,2_dpo/native,position_rate,1.0,0.9943,-0.0057,-0.017,0.0
deterministic_stance_v1,stance_first,vs_previous_stage,1_sft/native,2_dpo/native,acquiescence,0.5157,0.4571,-0.0586,-0.1143,-0.0056
deterministic_stance_v1,stance_first,vs_previous_stage,1_sft/native,2_dpo/native,direction_index,0.5186,0.6286,0.11,0.0074,0.2199
deterministic_stance_v1,stance_first,vs_previous_stage,2_dpo/native,3_rlvr2/native,position_rate,0.9943,0.9943,0.0,0.0,0.0
deterministic_stance_v1,stance_first,vs_previous_stage,2_dpo/native,3_rlvr2/native,acquiescence,0.4571,0.4493,-0.0079,-0.0519,0.0392
deterministic_stance_v1,stance_first,vs_previous_stage,2_dpo/native,3_rlvr2/native,direction_index,0.6286,0.5507,-0.0778,-0.1724,0.0045
deterministic_stance_v1,stance_first,vs_previous_stage,0_base/raw,1_sft/raw,position_rate,0.0398,0.1193,0.0795,0.0227,0.1364
deterministic_stance_v1,stance_first,vs_previous_stage,0_base/raw,1_sft/raw,acquiescence,0.6667,0.7102,0.0436,,
deterministic_stance_v1,stance_first,vs_previous_stage,0_base/raw,1_sft/raw,direction_index,0.6667,0.3295,-0.3371,,
deterministic_stance_v1,stance_first,vs_previous_stage,1_sft/raw,2_dpo/raw,position_rate,0.1193,0.4034,0.2841,0.1989,0.3693
deterministic_stance_v1,stance_first,vs_previous_stage,1_sft/raw,2_dpo/raw,acquiescence,0.7102,0.7353,0.0251,-0.1786,0.2579
deterministic_stance_v1,stance_first,vs_previous_stage,1_sft/raw,2_dpo/raw,direction_index,0.3295,0.5294,0.1999,-0.1518,0.5974
deterministic_stance_v1,stance_first,vs_previous_stage,2_dpo/raw,3_rlvr2/raw,position_rate,0.4034,0.392,-0.0114,-0.0739,0.0511
deterministic_stance_v1,stance_first,vs_previous_stage,2_dpo/raw,3_rlvr2/raw,acquiescence,0.7353,0.5833,-0.152,-0.2895,-0.0143
deterministic_stance_v1,stance_first,vs_previous_stage,2_dpo/raw,3_rlvr2/raw,direction_index,0.5294,0.6667,0.1373,-0.1795,0.45
faulborn_nli_reconstructed_as_written_seed42,opinion,vs_base_raw,0_base/raw,1_sft/native,position_rate,0.1932,0.2273,0.0341,-0.0682,0.1307
faulborn_nli_reconstructed_as_written_seed42,opinion,vs_base_raw,0_base/raw,1_sft/native,acquiescence,0.5696,0.5601,-0.0095,-0.2365,0.2134
faulborn_nli_reconstructed_as_written_seed42,opinion,vs_base_raw,0_base/raw,1_sft/native,direction_index,0.0916,0.532,0.4404,0.0522,0.8409
faulborn_nli_reconstructed_as_written_seed42,opinion,vs_base_raw,0_base/raw,1_sft/raw,position_rate,0.1932,0.0398,-0.1534,-0.2159,-0.0966
faulborn_nli_reconstructed_as_written_seed42,opinion,vs_base_raw,0_base/raw,1_sft/raw,acquiescence,0.5696,0.7,0.1304,,
faulborn_nli_reconstructed_as_written_seed42,opinion,vs_base_raw,0_base/raw,1_sft/raw,direction_index,0.0916,0.6,0.5084,,
faulborn_nli_reconstructed_as_written_seed42,opinion,vs_base_raw,0_base/raw,2_dpo/native,position_rate,0.1932,0.3239,0.1307,0.0341,0.2216
faulborn_nli_reconstructed_as_written_seed42,opinion,vs_base_raw,0_base/raw,2_dpo/native,acquiescence,0.5696,0.5389,-0.0307,-0.2385,0.1775
faulborn_nli_reconstructed_as_written_seed42,opinion,vs_base_raw,0_base/raw,2_dpo/native,direction_index,0.0916,0.8556,0.764,0.4287,1.1061
faulborn_nli_reconstructed_as_written_seed42,opinion,vs_base_raw,0_base/raw,2_dpo/raw,position_rate,0.1932,0.5,0.3068,0.2159,0.3977
faulborn_nli_reconstructed_as_written_seed42,opinion,vs_base_raw,0_base/raw,2_dpo/raw,acquiescence,0.5696,0.7182,0.1486,-0.0349,0.3384
faulborn_nli_reconstructed_as_written_seed42,opinion,vs_base_raw,0_base/raw,2_dpo/raw,direction_index,0.0916,0.3818,0.2902,-0.0417,0.6309
faulborn_nli_reconstructed_as_written_seed42,opinion,vs_base_raw,0_base/raw,3_rlvr2/native,position_rate,0.1932,0.3352,0.142,0.0398,0.2386
faulborn_nli_reconstructed_as_written_seed42,opinion,vs_base_raw,0_base/raw,3_rlvr2/native,acquiescence,0.5696,0.4873,-0.0823,-0.2777,0.1271
faulborn_nli_reconstructed_as_written_seed42,opinion,vs_base_raw,0_base/raw,3_rlvr2/native,direction_index,0.0916,0.8318,0.7402,0.3894,1.1007
faulborn_nli_reconstructed_as_written_seed42,opinion,vs_base_raw,0_base/raw,3_rlvr2/raw,position_rate,0.1932,0.5227,0.3295,0.2386,0.4148
faulborn_nli_reconstructed_as_written_seed42,opinion,vs_base_raw,0_base/raw,3_rlvr2/raw,acquiescence,0.5696,0.6845,0.1149,-0.0727,0.3133
faulborn_nli_reconstructed_as_written_seed42,opinion,vs_base_raw,0_base/raw,3_rlvr2/raw,direction_index,0.0916,0.2976,0.206,-0.1366,0.5752
faulborn_nli_reconstructed_as_written_seed42,opinion,vs_previous_stage,1_sft/native,2_dpo/native,position_rate,0.2273,0.3239,0.0966,0.0114,0.1761
